2010-01-02	1	1	19	i invented sex	trey songz featuring drake	
2010-01-02	2	3	18	it kills me	melanie fiona	
2010-01-02	3	2	15	money to blow	birdman featuring lil wayne & drake	
2010-01-02	4	6	14	say aah	trey songz featuring fabolous	
2010-01-02	5	4	12	papers	usher	
2010-01-02	6	5	16	empire state of mind	jay-z + alicia keys	
2010-01-02	7	9	10	bedrock	young money featuring lloyd	
2010-01-02	8	8	28	bad habits	maxwell	
2010-01-02	9	7	15	baby by me	50 cent featuring ne-yo	
2010-01-02	10	12	8	try sleeping with a broken heart	alicia keys	
2010-01-02	11	14	7	how low	ludacris	
2010-01-02	12	51	14	yesterday	toni braxton featuring trey songz	
2010-01-02	13	10	34	pretty wings	maxwell	
2010-01-02	14	11	13	i can transform ya	chris brown featuring lil wayne & swizz beatz	
2010-01-02	15	22	3	soldier of love	sade	
2010-01-02	16	18	6	i am	mary j. blige	
2010-01-02	17	17	8	ain't leavin without you	jaheim	
2010-01-02	18	23	7	hard	rihanna featuring jeezy	
2010-01-02	19	15	9	spotlight	gucci mane featuring usher	
2010-01-02	20	16	57	god in me	mary mary featuring kierra "kiki" sheard	
2010-01-02	21	19	28	wasted	gucci mane featuring plies or oj da juiceman	
2010-01-02	22	13	17	forever	drake featuring kanye west, lil wayne & eminem	
2010-01-02	23	31	4	i wanna rock	snoop dogg	
2010-01-02	24	24	11	gangsta luv	snoop dogg featuring the-dream	
2010-01-02	25	27	9	sex therapy	robin thicke	
2010-01-02	26	25	15	i get it in	omarion featuring gucci mane	
2010-01-02	27	21	20	million dollar bill	whitney houston	
2010-01-02	28	20	20	regret	letoya featuring ludacris	
2010-01-02	29	37	31	can't live without you	charlie wilson	
2010-01-02	30	36	27	close to you	bebe & cece winans	
2010-01-02	31	38	11	o let's do it	waka flocka flame	
2010-01-02	32	48	4	hey daddy (daddy's home)	usher featuring plies	
2010-01-02	33	30	23	number one	r. kelly featuring keri hilson	
2010-01-02	34	32	19	fresh	6 tre g	
2010-01-02	35	40	21	i'm going in	drake featuring lil wayne & young jeezy	
2010-01-02	36	29	22	i look good	chalie boy	
2010-01-02	37	26	33	break up	mario featuring gucci mane & sean garrett	
2010-01-02	38	41	18	i get crazy	nicki minaj featuring lil wayne	
2010-01-02	39	39	26	under	pleasure p	
2010-01-02	40	33	17	what i've been waiting for	brian mcknight	
2010-01-02	41	35	31	5 star	yo gotti	
2010-01-02	42	34	66	on the ocean	k'jon	
2010-01-02	43	43	13	video phone	beyonce featuring lady gaga	
2010-01-02	44	42	16	steady mobbin'	young money featuring gucci mane	
2010-01-02	45	47	8	all the way turnt up	roscoe dash featuring soulja boy tell'em	
2010-01-02	46	44	11	this is it	michael jackson featuring the jacksons	
2010-01-02	47	46	15	tie me down	new boyz featuring ray j	
2010-01-02	48	61	11	religious	r. kelly	
2010-01-02	49	54	7	say something	timbaland featuring drake	
2010-01-02	50	45	5	i ain't hearin' u	angie stone	
2010-01-09	1	2	19	it kills me	melanie fiona	
2010-01-09	2	1	20	i invented sex	trey songz featuring drake	
2010-01-09	3	3	16	money to blow	birdman featuring lil wayne & drake	
2010-01-09	4	4	15	say aah	trey songz featuring fabolous	
2010-01-09	5	7	11	bedrock	young money featuring lloyd	
2010-01-09	6	5	13	papers	usher	
2010-01-09	7	8	29	bad habits	maxwell	
2010-01-09	8	11	8	how low	ludacris	
2010-01-09	9	6	17	empire state of mind	jay-z + alicia keys	
2010-01-09	10	9	16	baby by me	50 cent featuring ne-yo	
2010-01-09	11	10	9	try sleeping with a broken heart	alicia keys	
2010-01-09	12	13	35	pretty wings	maxwell	
2010-01-09	13	16	7	i am	mary j. blige	
2010-01-09	14	18	8	hard	rihanna featuring jeezy	
2010-01-09	15	14	14	i can transform ya	chris brown featuring lil wayne & swizz beatz	
2010-01-09	16	17	9	ain't leavin without you	jaheim	
2010-01-09	17	20	58	god in me	mary mary featuring kierra "kiki" sheard	
